iter	Passed	Remaining
840	3795	577
841	3800	573
842	3804	568
843	3808	564
844	3813	559
845	3817	555
846	3822	550
847	3826	546
848	3830	541
849	3835	536
850	3840	532
851	3844	527
852	3848	523
853	3853	518
854	3858	514
855	3862	509
856	3867	505
857	3871	500
858	3876	496
859	3880	491
860	3885	487
861	3890	482
862	3895	478
863	3899	473
864	3904	469
865	3908	464
866	3913	460
867	3919	456
868	3928	452
869	3934	447
870	3939	443
871	3944	438
872	3949	434
873	3954	429
874	3959	425
875	3963	420
876	3968	416
877	3972	411
878	3977	407
879	3981	402
880	3986	398
881	3990	393
882	3994	389
883	3999	384
884	4003	380
885	4008	375
886	4012	370
887	4017	366
888	4022	361
889	4027	357
890	4031	352
891	4036	348
892	4040	343
893	4045	339
894	4049	334
895	4053	330
896	4057	325
897	4062	321
898	4066	316
899	4071	312
900	4075	307
901	4080	303
902	4084	298
903	4089	294
904	4093	289
905	4097	284
906	4102	280
907	4107	275
908	4112	271
909	4116	266
910	4121	262
911	4125	257
912	4130	253
913	4135	248
914	4139	244
915	4144	239
916	4148	235
917	4153	230
918	4158	226
919	4162	221
920	4167	217
921	4171	212
922	4175	208
923	4180	203
924	4184	199
925	4189	194
926	4193	190
927	4198	185
928	4202	180
929	4208	176
930	4213	171
931	4217	167
932	4221	162
933	4226	158
934	4230	153
935	4235	149
936	4239	144
937	4243	140
938	4248	135
939	4252	131
940	4257	126
941	4261	122
942	4265	117
943	4270	113
944	4274	108
945	4279	104
946	4283	99
947	4288	95
948	4293	90
949	4298	85
950	4302	81
951	4307	76
952	4315	72
953	4327	68
954	4333	63
955	4339	59
956	4346	54
957	4351	49
958	4356	45
959	4362	40
960	4367	36
961	4372	31
962	4376	27
963	4381	22
964	4385	18
965	4390	13
966	4394	9
967	4399	4
968	4403	0
